workerId,zone,week,rainfallMm,temperatureC,aqi,activityScore,riskTier
1,Puri-Zone1,15,100.4,36.5,110.0,0.922,high
1,Puri-Zone1,16,72.5,36.9,111.0,0.747,high
1,Puri-Zone1,17,94.5,37.0,95.1,0.831,high
1,Puri-Zone1,18,118.3,37.5,115.7,0.666,high
1,Puri-Zone1,19,114.9,40.1,103.0,0.666,low
1,Puri-Zone1,20,113.4,42.0,109.1,0.837,high
1,Puri-Zone1,21,66.8,41.2,111.9,0.589,high
1,Puri-Zone1,22,168.6,42.4,94.4,0.992,high
1,Puri-Zone1,23,169.2,41.7,96.7,0.666,high
1,Puri-Zone1,24,223.9,41.5,88.4,0.781,high
1,Puri-Zone1,25,238.0,42.9,88.3,0.555,high
1,Puri-Zone1,26,282.3,43.3,92.1,0.741,high
1,Puri-Zone1,27,270.7,41.6,90.7,0.814,high
1,Puri-Zone1,28,286.8,41.9,83.1,0.806,high
1,Puri-Zone1,29,340.7,40.4,88.9,0.9,high
1,Puri-Zone1,30,335.2,42.2,81.0,0.673,high
1,Puri-Zone1,31,385.5,40.3,84.7,0.777,high
1,Puri-Zone1,32,385.3,40.4,81.3,0.878,high
1,Puri-Zone1,33,344.1,40.2,81.4,0.813,high
1,Puri-Zone1,34,373.5,39.4,77.7,0.865,low
1,Puri-Zone1,35,389.2,37.7,64.0,0.831,high
1,Puri-Zone1,36,358.5,35.0,76.6,0.718,high
1,Puri-Zone1,37,354.0,35.9,92.4,0.749,low
1,Puri-Zone1,38,315.8,36.3,103.7,0.804,high
1,Puri-Zone1,39,351.5,35.2,150.6,0.705,high
1,Puri-Zone1,40,291.4,33.1,171.6,0.915,high
1,Puri-Zone1,41,285.5,31.7,169.0,0.854,high
1,Puri-Zone1,42,247.4,27.8,169.7,0.901,high
1,Puri-Zone1,43,246.9,27.8,159.6,0.814,high
1,Puri-Zone1,44,197.4,26.4,181.7,0.715,high
1,Puri-Zone1,45,159.8,23.8,182.3,0.846,high
1,Puri-Zone1,46,101.3,24.8,181.4,0.917,high
1,Puri-Zone1,47,113.6,24.7,191.0,0.814,high
1,Puri-Zone1,48,105.8,24.6,174.6,0.693,high
1,Puri-Zone1,49,69.5,24.6,191.0,0.727,high
1,Puri-Zone1,50,75.1,24.2,196.6,0.789,high
1,Puri-Zone1,51,109.4,21.1,192.7,0.931,high
1,Puri-Zone1,52,13.9,21.5,190.0,0.965,medium
2,Cuttack-Zone1,0,20.0,23.7,196.3,0.817,medium
2,Cuttack-Zone1,1,53.9,23.0,203.3,0.939,high
2,Cuttack-Zone1,2,39.0,22.9,200.9,0.843,medium
2,Cuttack-Zone1,3,52.1,24.6,189.0,0.775,high
2,Cuttack-Zone1,4,42.3,25.4,151.7,0.961,medium
2,Cuttack-Zone1,5,29.4,25.2,116.0,0.917,medium
2,Cuttack-Zone1,6,33.7,25.9,117.0,0.924,medium
2,Cuttack-Zone1,7,32.3,27.7,117.3,0.886,medium
2,Cuttack-Zone1,8,26.4,27.3,120.7,0.933,medium
2,Cuttack-Zone1,9,18.2,26.7,110.9,0.929,low
2,Cuttack-Zone1,10,12.5,29.6,110.7,0.986,low
2,Cuttack-Zone1,11,14.1,32.2,118.6,0.821,low
2,Cuttack-Zone1,12,53.2,30.8,110.4,0.992,high
2,Cuttack-Zone1,13,45.8,31.3,105.1,0.976,medium
2,Cuttack-Zone1,14,12.8,35.2,118.6,0.935,low
2,Cuttack-Zone1,15,68.1,36.8,115.9,0.906,medium
2,Cuttack-Zone1,16,12.1,37.5,111.4,0.935,low
2,Cuttack-Zone1,17,63.9,38.5,104.0,0.834,high
2,Cuttack-Zone1,18,62.2,40.9,113.7,0.783,high
2,Cuttack-Zone1,19,33.3,38.5,111.6,0.899,medium
2,Cuttack-Zone1,20,26.4,39.6,116.0,0.983,medium
2,Cuttack-Zone1,21,31.7,41.9,114.3,0.988,medium
2,Cuttack-Zone1,22,62.7,39.8,117.4,1.0,high
2,Cuttack-Zone1,23,79.2,41.7,106.4,0.923,high
2,Cuttack-Zone1,24,159.5,42.0,102.3,1.0,high
2,Cuttack-Zone1,25,246.6,43.2,96.1,0.927,high
2,Cuttack-Zone1,26,198.7,41.4,97.4,0.817,high
2,Cuttack-Zone1,27,282.6,43.4,82.7,0.841,high
2,Cuttack-Zone1,28,235.4,40.8,94.9,1.0,high
2,Cuttack-Zone1,29,238.0,42.0,95.3,0.817,high
2,Cuttack-Zone1,30,288.1,42.8,83.0,0.804,high
2,Cuttack-Zone1,31,263.5,38.7,89.7,1.0,high
2,Cuttack-Zone1,32,334.1,40.7,72.4,0.926,high
2,Cuttack-Zone1,33,337.1,38.6,73.7,0.926,low
2,Cuttack-Zone1,34,302.3,38.0,94.7,0.891,high
2,Cuttack-Zone1,35,285.6,36.6,81.6,0.945,high
2,Cuttack-Zone1,36,313.4,35.3,77.0,0.975,high
2,Cuttack-Zone1,37,325.5,35.0,78.6,0.865,high
2,Cuttack-Zone1,38,264.2,34.8,115.7,1.0,high
2,Cuttack-Zone1,39,271.7,31.9,178.6,0.863,high
2,Cuttack-Zone1,40,247.0,29.6,171.7,0.761,high
2,Cuttack-Zone1,41,190.4,30.8,175.7,0.727,medium
2,Cuttack-Zone1,42,184.7,28.1,171.0,0.863,high
2,Cuttack-Zone1,43,185.3,26.9,174.4,0.861,high
2,Cuttack-Zone1,44,119.5,26.5,181.4,0.906,high
2,Cuttack-Zone1,45,144.4,25.5,180.1,1.0,high
2,Cuttack-Zone1,46,76.7,24.8,191.4,0.976,medium
2,Cuttack-Zone1,47,22.2,23.5,199.6,0.803,medium
2,Cuttack-Zone1,48,49.5,23.0,193.1,0.872,medium
2,Cuttack-Zone1,49,56.2,22.8,188.0,0.909,high
2,Cuttack-Zone1,50,55.0,22.8,190.0,0.948,high
2,Cuttack-Zone1,51,44.3,24.1,197.1,0.821,medium
2,Cuttack-Zone1,52,0.9,17.3,221.0,0.958,medium
3,Puri-Zone1,0,125.9,22.3,186.0,0.395,high
3,Puri-Zone1,1,116.2,22.7,185.0,0.481,high
3,Puri-Zone1,2,77.3,23.1,189.1,0.387,high
3,Puri-Zone1,3,144.2,24.7,182.0,0.522,high
3,Puri-Zone1,4,104.0,23.6,137.7,0.533,high
3,Puri-Zone1,5,75.6,24.8,105.9,0.438,high
3,Puri-Zone1,6,77.2,25.1,109.7,0.672,high
3,Puri-Zone1,7,81.9,25.9,100.3,0.475,high
3,Puri-Zone1,8,105.0,27.3,110.9,0.307,high
3,Puri-Zone1,9,117.3,26.6,105.0,0.517,high
3,Puri-Zone1,10,105.1,29.5,106.1,0.612,high
3,Puri-Zone1,11,92.2,31.1,109.7,0.386,high
3,Puri-Zone1,12,104.3,33.4,109.0,0.315,high
3,Puri-Zone1,13,69.9,32.5,108.0,0.514,high
3,Puri-Zone1,14,132.9,34.1,110.4,0.435,high
3,Puri-Zone1,15,100.4,36.5,110.0,0.455,low
3,Puri-Zone1,16,72.5,36.9,111.0,0.459,high
3,Puri-Zone1,17,94.5,37.0,95.1,0.345,high
3,Puri-Zone1,18,118.3,37.5,115.7,0.475,high
3,Puri-Zone1,19,114.9,40.1,103.0,0.435,high
3,Puri-Zone1,20,113.4,42.0,109.1,0.424,high
3,Puri-Zone1,21,66.8,41.2,111.9,0.422,high
3,Puri-Zone1,22,168.6,42.4,94.4,0.482,high
3,Puri-Zone1,23,169.2,41.7,96.7,0.594,low
3,Puri-Zone1,24,223.9,41.5,88.4,0.418,high
3,Puri-Zone1,25,238.0,42.9,88.3,0.458,high
3,Puri-Zone1,26,282.3,43.3,92.1,0.396,high
3,Puri-Zone1,27,270.7,41.6,90.7,0.552,high
3,Puri-Zone1,28,286.8,41.9,83.1,0.372,high
3,Puri-Zone1,29,340.7,40.4,88.9,0.48,high
3,Puri-Zone1,30,335.2,42.2,81.0,0.614,high
3,Puri-Zone1,31,385.5,40.3,84.7,0.561,high
3,Puri-Zone1,32,385.3,40.4,81.3,0.407,high
3,Puri-Zone1,33,344.1,40.2,81.4,0.486,high
3,Puri-Zone1,34,373.5,39.4,77.7,0.444,high
3,Puri-Zone1,35,389.2,37.7,64.0,0.389,high
3,Puri-Zone1,36,358.5,35.0,76.6,0.338,high
3,Puri-Zone1,37,354.0,35.9,92.4,0.363,high
3,Puri-Zone1,38,315.8,36.3,103.7,0.428,high
3,Puri-Zone1,39,351.5,35.2,150.6,0.546,high
3,Puri-Zone1,40,291.4,33.1,171.6,0.216,high
3,Puri-Zone1,41,285.5,31.7,169.0,0.311,high
3,Puri-Zone1,42,247.4,27.8,169.7,0.5,high
3,Puri-Zone1,43,246.9,27.8,159.6,0.485,high
3,Puri-Zone1,44,197.4,26.4,181.7,0.356,high
3,Puri-Zone1,45,159.8,23.8,182.3,0.433,high
3,Puri-Zone1,46,101.3,24.8,181.4,0.557,high
3,Puri-Zone1,47,113.6,24.7,191.0,0.415,high
3,Puri-Zone1,48,105.8,24.6,174.6,0.467,high
3,Puri-Zone1,49,69.5,24.6,191.0,0.443,high
3,Puri-Zone1,50,75.1,24.2,196.6,0.591,high
3,Puri-Zone1,51,109.4,21.1,192.7,0.603,high
3,Puri-Zone1,52,13.9,21.5,190.0,0.472,low
4,Puri-Zone1,0,125.9,22.3,186.0,0.777,high
4,Puri-Zone1,1,116.2,22.7,185.0,0.921,high
4,Puri-Zone1,2,77.3,23.1,189.1,1.0,high
4,Puri-Zone1,3,144.2,24.7,182.0,0.913,high
4,Puri-Zone1,4,104.0,23.6,137.7,0.848,high
4,Puri-Zone1,5,75.6,24.8,105.9,0.805,high
4,Puri-Zone1,6,77.2,25.1,109.7,0.823,high
4,Puri-Zone1,7,81.9,25.9,100.3,0.995,high
4,Puri-Zone1,8,105.0,27.3,110.9,0.862,high
4,Puri-Zone1,9,117.3,26.6,105.0,0.787,high
4,Puri-Zone1,10,105.1,29.5,106.1,0.849,high
4,Puri-Zone1,11,92.2,31.1,109.7,0.802,high
4,Puri-Zone1,12,104.3,33.4,109.0,0.98,high
4,Puri-Zone1,13,69.9,32.5,108.0,0.737,high
4,Puri-Zone1,14,132.9,34.1,110.4,0.599,high
4,Puri-Zone1,15,100.4,36.5,110.0,0.981,high
4,Puri-Zone1,16,72.5,36.9,111.0,0.718,high
4,Puri-Zone1,17,94.5,37.0,95.1,1.0,high
4,Puri-Zone1,18,118.3,37.5,115.7,1.0,low
4,Puri-Zone1,19,114.9,40.1,103.0,0.893,high
4,Puri-Zone1,20,113.4,42.0,109.1,0.82,high
4,Puri-Zone1,21,66.8,41.2,111.9,0.969,high
4,Puri-Zone1,22,168.6,42.4,94.4,0.789,high
4,Puri-Zone1,23,169.2,41.7,96.7,0.989,high
4,Puri-Zone1,24,223.9,41.5,88.4,0.911,high
4,Puri-Zone1,25,238.0,42.9,88.3,0.813,high
4,Puri-Zone1,26,282.3,43.3,92.1,0.914,high
4,Puri-Zone1,27,270.7,41.6,90.7,0.797,medium
4,Puri-Zone1,28,286.8,41.9,83.1,0.822,high
4,Puri-Zone1,29,340.7,40.4,88.9,0.749,high
4,Puri-Zone1,30,335.2,42.2,81.0,0.923,high
4,Puri-Zone1,31,385.5,40.3,84.7,0.851,high
4,Puri-Zone1,32,385.3,40.4,81.3,0.742,high
4,Puri-Zone1,33,344.1,40.2,81.4,0.983,high
4,Puri-Zone1,34,373.5,39.4,77.7,0.882,high
4,Puri-Zone1,35,389.2,37.7,64.0,0.979,high
4,Puri-Zone1,36,358.5,35.0,76.6,0.899,high
4,Puri-Zone1,37,354.0,35.9,92.4,0.829,high
4,Puri-Zone1,38,315.8,36.3,103.7,0.796,high
4,Puri-Zone1,39,351.5,35.2,150.6,0.936,high
4,Puri-Zone1,40,291.4,33.1,171.6,1.0,high
4,Puri-Zone1,41,285.5,31.7,169.0,0.926,high
4,Puri-Zone1,42,247.4,27.8,169.7,0.826,high
4,Puri-Zone1,43,246.9,27.8,159.6,0.904,high
4,Puri-Zone1,44,197.4,26.4,181.7,0.903,high
4,Puri-Zone1,45,159.8,23.8,182.3,0.849,high
4,Puri-Zone1,46,101.3,24.8,181.4,0.962,high
4,Puri-Zone1,47,113.6,24.7,191.0,0.74,high
4,Puri-Zone1,48,105.8,24.6,174.6,0.775,low
4,Puri-Zone1,49,69.5,24.6,191.0,0.807,high
4,Puri-Zone1,50,75.1,24.2,196.6,0.909,high
4,Puri-Zone1,51,109.4,21.1,192.7,0.897,high
4,Puri-Zone1,52,13.9,21.5,190.0,0.961,high
5,Bhubaneswar-Zone2,0,108.4,21.1,189.9,0.537,high
5,Bhubaneswar-Zone2,1,66.7,23.3,193.3,0.332,high
5,Bhubaneswar-Zone2,2,91.1,21.0,196.0,0.275,high
5,Bhubaneswar-Zone2,3,88.0,23.2,190.6,0.528,high
5,Bhubaneswar-Zone2,4,72.7,23.2,136.9,0.496,high
5,Bhubaneswar-Zone2,5,70.9,23.7,114.6,0.48,high
5,Bhubaneswar-Zone2,6,57.1,25.3,117.9,0.545,high
5,Bhubaneswar-Zone2,7,97.0,27.2,108.0,0.522,high
5,Bhubaneswar-Zone2,8,46.4,29.7,118.6,0.534,high
5,Bhubaneswar-Zone2,9,41.6,29.3,109.4,0.603,medium
5,Bhubaneswar-Zone2,10,89.7,31.0,125.9,0.708,high
5,Bhubaneswar-Zone2,11,48.2,31.0,113.4,0.425,medium
5,Bhubaneswar-Zone2,12,51.8,32.7,113.7,0.711,high
5,Bhubaneswar-Zone2,13,128.9,34.8,95.1,0.49,low
5,Bhubaneswar-Zone2,14,48.1,34.4,114.6,0.48,medium
5,Bhubaneswar-Zone2,15,83.4,36.8,106.0,0.582,high
5,Bhubaneswar-Zone2,16,85.1,37.7,110.0,0.341,high
5,Bhubaneswar-Zone2,17,79.0,37.4,102.9,0.597,high
5,Bhubaneswar-Zone2,18,104.4,39.9,105.0,0.673,high
5,Bhubaneswar-Zone2,19,111.3,41.9,103.0,0.492,high
5,Bhubaneswar-Zone2,20,72.2,41.6,115.3,0.485,high
5,Bhubaneswar-Zone2,21,49.8,41.0,114.1,0.588,medium
5,Bhubaneswar-Zone2,22,74.5,40.8,103.9,0.434,high
5,Bhubaneswar-Zone2,23,135.2,42.9,108.3,0.422,high
5,Bhubaneswar-Zone2,24,142.8,45.0,110.1,0.431,high
5,Bhubaneswar-Zone2,25,213.2,44.1,96.4,0.451,high
5,Bhubaneswar-Zone2,26,244.8,41.9,89.4,0.505,low
5,Bhubaneswar-Zone2,27,229.8,42.9,94.4,0.39,high
5,Bhubaneswar-Zone2,28,257.8,43.2,89.7,0.491,high
5,Bhubaneswar-Zone2,29,279.6,42.9,86.7,0.646,high
5,Bhubaneswar-Zone2,30,323.3,39.3,86.4,0.475,high
5,Bhubaneswar-Zone2,31,349.4,41.3,75.7,0.466,high
5,Bhubaneswar-Zone2,32,343.1,39.3,87.0,0.452,high
5,Bhubaneswar-Zone2,33,339.2,37.7,72.0,0.413,high
5,Bhubaneswar-Zone2,34,333.2,38.6,85.4,0.409,high
5,Bhubaneswar-Zone2,35,359.8,35.4,79.1,0.44,high
5,Bhubaneswar-Zone2,36,362.9,35.0,81.6,0.347,low
5,Bhubaneswar-Zone2,37,299.2,34.3,85.6,0.441,high
5,Bhubaneswar-Zone2,38,297.3,31.5,112.0,0.499,high
5,Bhubaneswar-Zone2,39,298.5,33.3,172.7,0.362,high
5,Bhubaneswar-Zone2,40,306.6,31.3,161.4,0.494,high
5,Bhubaneswar-Zone2,41,250.9,30.8,175.1,0.511,medium
5,Bhubaneswar-Zone2,42,222.5,32.6,174.1,0.357,high
5,Bhubaneswar-Zone2,43,240.7,28.6,180.7,0.454,high
5,Bhubaneswar-Zone2,44,170.7,25.8,181.1,0.58,high
5,Bhubaneswar-Zone2,45,115.2,27.1,179.3,0.453,low
5,Bhubaneswar-Zone2,46,103.4,24.2,181.1,0.368,high
5,Bhubaneswar-Zone2,47,123.4,26.9,181.4,0.524,high
5,Bhubaneswar-Zone2,48,92.9,23.7,190.6,0.427,high
5,Bhubaneswar-Zone2,49,71.1,23.2,195.3,0.61,high
5,Bhubaneswar-Zone2,50,89.6,23.4,189.3,0.504,high
5,Bhubaneswar-Zone2,51,31.0,23.1,195.4,0.432,medium
5,Bhubaneswar-Zone2,52,3.2,17.6,200.0,0.351,medium
6,Cuttack-Zone1,0,20.0,23.7,196.3,0.706,medium
6,Cuttack-Zone1,1,53.9,23.0,203.3,0.73,high
6,Cuttack-Zone1,2,39.0,22.9,200.9,0.631,medium
6,Cuttack-Zone1,3,52.1,24.6,189.0,0.694,high
6,Cuttack-Zone1,4,42.3,25.4,151.7,0.642,medium
6,Cuttack-Zone1,5,29.4,25.2,116.0,0.737,medium
6,Cuttack-Zone1,6,33.7,25.9,117.0,0.612,medium
6,Cuttack-Zone1,7,32.3,27.7,117.3,0.706,medium
6,Cuttack-Zone1,8,26.4,27.3,120.7,0.659,medium
6,Cuttack-Zone1,9,18.2,26.7,110.9,0.765,low
6,Cuttack-Zone1,10,12.5,29.6,110.7,0.858,low
6,Cuttack-Zone1,11,14.1,32.2,118.6,0.573,low
6,Cuttack-Zone1,12,53.2,30.8,110.4,0.685,high
6,Cuttack-Zone1,13,45.8,31.3,105.1,0.934,medium
6,Cuttack-Zone1,14,12.8,35.2,118.6,0.649,low
6,Cuttack-Zone1,15,68.1,36.8,115.9,0.648,high
6,Cuttack-Zone1,16,12.1,37.5,111.4,0.808,low
6,Cuttack-Zone1,17,63.9,38.5,104.0,0.691,high
6,Cuttack-Zone1,18,62.2,40.9,113.7,0.711,high
6,Cuttack-Zone1,19,33.3,38.5,111.6,0.87,medium
6,Cuttack-Zone1,20,26.4,39.6,116.0,0.759,medium
6,Cuttack-Zone1,21,31.7,41.9,114.3,0.66,medium
6,Cuttack-Zone1,22,62.7,39.8,117.4,0.813,low
6,Cuttack-Zone1,23,79.2,41.7,106.4,0.665,high
6,Cuttack-Zone1,24,159.5,42.0,102.3,0.863,high
6,Cuttack-Zone1,25,246.6,43.2,96.1,0.605,high
6,Cuttack-Zone1,26,198.7,41.4,97.4,0.653,high
6,Cuttack-Zone1,27,282.6,43.4,82.7,0.823,high
6,Cuttack-Zone1,28,235.4,40.8,94.9,0.498,high
6,Cuttack-Zone1,29,238.0,42.0,95.3,0.61,high
6,Cuttack-Zone1,30,288.1,42.8,83.0,0.838,high
6,Cuttack-Zone1,31,263.5,38.7,89.7,0.757,high
6,Cuttack-Zone1,32,334.1,40.7,72.4,0.654,high
6,Cuttack-Zone1,33,337.1,38.6,73.7,0.558,high
6,Cuttack-Zone1,34,302.3,38.0,94.7,0.583,medium
6,Cuttack-Zone1,35,285.6,36.6,81.6,0.636,high
6,Cuttack-Zone1,36,313.4,35.3,77.0,0.623,high
6,Cuttack-Zone1,37,325.5,35.0,78.6,0.659,high
6,Cuttack-Zone1,38,264.2,34.8,115.7,0.776,high
6,Cuttack-Zone1,39,271.7,31.9,178.6,0.841,high
6,Cuttack-Zone1,40,247.0,29.6,171.7,0.677,high
6,Cuttack-Zone1,41,190.4,30.8,175.7,0.707,high
6,Cuttack-Zone1,42,184.7,28.1,171.0,0.632,high
6,Cuttack-Zone1,43,185.3,26.9,174.4,0.678,high
6,Cuttack-Zone1,44,119.5,26.5,181.4,0.636,high
6,Cuttack-Zone1,45,144.4,25.5,180.1,0.668,high
6,Cuttack-Zone1,46,76.7,24.8,191.4,0.499,high
6,Cuttack-Zone1,47,22.2,23.5,199.6,0.644,medium
6,Cuttack-Zone1,48,49.5,23.0,193.1,0.67,medium
6,Cuttack-Zone1,49,56.2,22.8,188.0,0.702,high
6,Cuttack-Zone1,50,55.0,22.8,190.0,0.525,high
6,Cuttack-Zone1,51,44.3,24.1,197.1,0.531,medium
6,Cuttack-Zone1,52,0.9,17.3,221.0,0.698,medium
7,Cuttack-Zone1,0,20.0,23.7,196.3,0.629,medium
7,Cuttack-Zone1,1,53.9,23.0,203.3,0.725,high
7,Cuttack-Zone1,2,39.0,22.9,200.9,0.87,medium
7,Cuttack-Zone1,3,52.1,24.6,189.0,0.621,high
7,Cuttack-Zone1,4,42.3,25.4,151.7,0.66,medium
7,Cuttack-Zone1,5,29.4,25.2,116.0,0.843,medium
7,Cuttack-Zone1,6,33.7,25.9,117.0,0.564,medium
7,Cuttack-Zone1,7,32.3,27.7,117.3,0.726,medium
7,Cuttack-Zone1,8,26.4,27.3,120.7,0.98,medium
7,Cuttack-Zone1,9,18.2,26.7,110.9,0.776,low
7,Cuttack-Zone1,10,12.5,29.6,110.7,0.837,low
7,Cuttack-Zone1,11,14.1,32.2,118.6,0.702,low
7,Cuttack-Zone1,12,53.2,30.8,110.4,0.619,high
7,Cuttack-Zone1,13,45.8,31.3,105.1,0.913,medium
7,Cuttack-Zone1,14,12.8,35.2,118.6,0.903,low
7,Cuttack-Zone1,15,68.1,36.8,115.9,0.679,high
7,Cuttack-Zone1,16,12.1,37.5,111.4,0.754,low
7,Cuttack-Zone1,17,63.9,38.5,104.0,0.749,high
7,Cuttack-Zone1,18,62.2,40.9,113.7,0.812,high
7,Cuttack-Zone1,19,33.3,38.5,111.6,0.554,medium
7,Cuttack-Zone1,20,26.4,39.6,116.0,0.739,medium
7,Cuttack-Zone1,21,31.7,41.9,114.3,0.565,medium
7,Cuttack-Zone1,22,62.7,39.8,117.4,0.94,high
7,Cuttack-Zone1,23,79.2,41.7,106.4,0.883,high
7,Cuttack-Zone1,24,159.5,42.0,102.3,0.664,high
7,Cuttack-Zone1,25,246.6,43.2,96.1,0.958,high
7,Cuttack-Zone1,26,198.7,41.4,97.4,0.63,high
7,Cuttack-Zone1,27,282.6,43.4,82.7,0.763,low
7,Cuttack-Zone1,28,235.4,40.8,94.9,0.746,high
7,Cuttack-Zone1,29,238.0,42.0,95.3,0.806,high
7,Cuttack-Zone1,30,288.1,42.8,83.0,0.453,high
7,Cuttack-Zone1,31,263.5,38.7,89.7,0.745,high
7,Cuttack-Zone1,32,334.1,40.7,72.4,0.708,high
7,Cuttack-Zone1,33,337.1,38.6,73.7,0.669,high
7,Cuttack-Zone1,34,302.3,38.0,94.7,0.787,high
7,Cuttack-Zone1,35,285.6,36.6,81.6,0.684,high
7,Cuttack-Zone1,36,313.4,35.3,77.0,0.833,high
7,Cuttack-Zone1,37,325.5,35.0,78.6,0.842,high
7,Cuttack-Zone1,38,264.2,34.8,115.7,0.798,low
7,Cuttack-Zone1,39,271.7,31.9,178.6,0.868,low
7,Cuttack-Zone1,40,247.0,29.6,171.7,0.603,high
7,Cuttack-Zone1,41,190.4,30.8,175.7,0.816,high
7,Cuttack-Zone1,42,184.7,28.1,171.0,0.865,high
7,Cuttack-Zone1,43,185.3,26.9,174.4,0.67,high
7,Cuttack-Zone1,44,119.5,26.5,181.4,0.768,medium
7,Cuttack-Zone1,45,144.4,25.5,180.1,0.958,high
7,Cuttack-Zone1,46,76.7,24.8,191.4,0.825,high
7,Cuttack-Zone1,47,22.2,23.5,199.6,0.786,medium
7,Cuttack-Zone1,48,49.5,23.0,193.1,0.826,medium
7,Cuttack-Zone1,49,56.2,22.8,188.0,0.733,high
7,Cuttack-Zone1,50,55.0,22.8,190.0,0.585,high
7,Cuttack-Zone1,51,44.3,24.1,197.1,0.637,medium
7,Cuttack-Zone1,52,0.9,17.3,221.0,0.81,medium
