zone,day,rainfallMm,temperatureC,aqi
Bhubaneswar-Zone1,267,45.8,32.1,65
Bhubaneswar-Zone1,268,39.4,30.1,86
Bhubaneswar-Zone1,269,38.3,30.0,99
Bhubaneswar-Zone1,270,48.5,31.5,96
Bhubaneswar-Zone1,271,48.2,32.3,178
Bhubaneswar-Zone1,272,50.7,25.7,179
Bhubaneswar-Zone1,273,53.7,30.6,154
Bhubaneswar-Zone1,274,39.5,29.2,151
Bhubaneswar-Zone1,275,39.0,31.5,167
Bhubaneswar-Zone1,276,45.9,28.9,173
Bhubaneswar-Zone1,277,41.1,31.8,149
Bhubaneswar-Zone1,278,41.9,27.7,191
Bhubaneswar-Zone1,279,44.6,24.4,178
Bhubaneswar-Zone1,280,49.1,30.8,158
Bhubaneswar-Zone1,281,34.3,26.9,162
Bhubaneswar-Zone1,282,34.3,25.2,163
Bhubaneswar-Zone1,283,30.9,28.2,176
Bhubaneswar-Zone1,284,36.6,27.6,167
Bhubaneswar-Zone1,285,29.5,29.5,191
Bhubaneswar-Zone1,286,33.7,29.5,168
Bhubaneswar-Zone1,287,34.5,27.7,180
Bhubaneswar-Zone1,288,30.4,25.6,175
Bhubaneswar-Zone1,289,34.4,27.8,177
Bhubaneswar-Zone1,290,27.0,27.4,175
Bhubaneswar-Zone1,291,26.5,28.0,189
Bhubaneswar-Zone1,292,39.5,25.0,179
Bhubaneswar-Zone1,293,28.7,25.7,184
Bhubaneswar-Zone1,294,25.7,27.4,189
Bhubaneswar-Zone1,295,30.0,28.7,162
Bhubaneswar-Zone1,296,35.3,28.0,177
Bhubaneswar-Zone1,297,24.9,26.1,199
Bhubaneswar-Zone1,298,30.2,24.8,183
Bhubaneswar-Zone1,299,22.5,26.4,167
Bhubaneswar-Zone1,300,21.7,23.3,182
Bhubaneswar-Zone1,301,26.7,23.7,184
Bhubaneswar-Zone1,302,26.3,28.2,168
Bhubaneswar-Zone1,303,27.6,25.8,158
Bhubaneswar-Zone1,304,29.2,24.1,172
Bhubaneswar-Zone1,305,48.0,26.4,150
Bhubaneswar-Zone1,306,23.4,27.1,181
Bhubaneswar-Zone1,307,20.1,23.5,160
Bhubaneswar-Zone1,308,29.1,23.4,185
Bhubaneswar-Zone1,309,18.3,23.0,176
Bhubaneswar-Zone1,310,19.7,25.9,199
Bhubaneswar-Zone1,311,15.1,25.8,184
Bhubaneswar-Zone1,312,14.0,26.5,188
Bhubaneswar-Zone1,313,39.5,25.6,166
Bhubaneswar-Zone1,314,27.0,20.2,168
Bhubaneswar-Zone1,315,21.4,23.9,220
Bhubaneswar-Zone1,316,15.4,21.1,180
Bhubaneswar-Zone1,317,12.1,22.0,206
Bhubaneswar-Zone1,318,11.2,23.3,175
Bhubaneswar-Zone1,319,11.5,24.5,196
Bhubaneswar-Zone1,320,14.9,20.9,195
Bhubaneswar-Zone1,321,17.9,17.9,185
Bhubaneswar-Zone1,322,15.8,22.8,179
Bhubaneswar-Zone1,323,9.1,27.6,189
Bhubaneswar-Zone1,324,30.6,21.8,169
Bhubaneswar-Zone1,325,15.9,22.2,223
Bhubaneswar-Zone1,326,10.9,25.6,191
Bhubaneswar-Zone1,327,11.3,23.1,199
Bhubaneswar-Zone1,328,7.4,22.3,221
Bhubaneswar-Zone1,329,4.7,22.6,183
Bhubaneswar-Zone1,330,5.2,22.1,196
Bhubaneswar-Zone1,331,12.4,19.3,186
Bhubaneswar-Zone1,332,0.5,18.8,198
Bhubaneswar-Zone1,333,1.0,25.1,197
Bhubaneswar-Zone1,334,0.4,21.7,189
Bhubaneswar-Zone1,335,0.3,21.4,203
Bhubaneswar-Zone1,336,15.5,20.9,172
Bhubaneswar-Zone1,337,9.7,22.6,207
Bhubaneswar-Zone1,338,5.1,26.0,205
Bhubaneswar-Zone1,339,0.8,21.9,192
Bhubaneswar-Zone1,340,5.4,19.6,189
Bhubaneswar-Zone1,341,5.1,20.5,200
Bhubaneswar-Zone1,342,1.5,22.8,187
Bhubaneswar-Zone1,343,4.6,19.5,224
Bhubaneswar-Zone1,344,4.1,22.3,202
Bhubaneswar-Zone1,345,7.7,15.9,200
Bhubaneswar-Zone1,346,8.1,20.0,204
Bhubaneswar-Zone1,347,0.4,21.7,191
Bhubaneswar-Zone1,348,3.8,22.9,213
Bhubaneswar-Zone1,349,7.9,18.7,195
Bhubaneswar-Zone1,350,5.6,17.3,210
Bhubaneswar-Zone1,351,15.5,19.7,185
Bhubaneswar-Zone1,352,8.6,18.0,213
Bhubaneswar-Zone1,353,1.4,19.9,205
Bhubaneswar-Zone1,354,0.6,20.1,232
Bhubaneswar-Zone1,355,8.2,17.5,188
Bhubaneswar-Zone1,356,0.2,21.7,203
Bhubaneswar-Zone1,357,7.1,19.8,179
Bhubaneswar-Zone1,358,22.5,22.2,174
Bhubaneswar-Zone1,359,6.9,16.3,204
Bhubaneswar-Zone1,360,3.9,18.0,214
Bhubaneswar-Zone1,361,8.2,21.0,238
Bhubaneswar-Zone1,362,4.9,18.4,195
Bhubaneswar-Zone1,363,6.3,19.7,181
Bhubaneswar-Zone1,364,22.7,20.0,193
Bhubaneswar-Zone2,0,46.9,20.1,180
Bhubaneswar-Zone2,1,31.4,21.1,168
Bhubaneswar-Zone2,2,10.4,19.9,195
Bhubaneswar-Zone2,3,3.8,21.0,201
Bhubaneswar-Zone2,4,11.1,20.2,187
Bhubaneswar-Zone2,5,2.6,16.1,207
Bhubaneswar-Zone2,6,2.2,18.2,191
Bhubaneswar-Zone2,7,4.4,19.8,210
Bhubaneswar-Zone2,8,7.0,17.7,174
Bhubaneswar-Zone2,9,18.2,21.4,187
Bhubaneswar-Zone2,10,12.4,23.2,219
Bhubaneswar-Zone2,11,12.9,22.7,175
Bhubaneswar-Zone2,12,6.4,19.8,185
Bhubaneswar-Zone2,13,5.4,23.3,203
Bhubaneswar-Zone2,14,5.7,20.6,198
Bhubaneswar-Zone2,15,37.2,19.7,176
Bhubaneswar-Zone2,16,2.3,19.2,205
Bhubaneswar-Zone2,17,18.1,19.9,195
Bhubaneswar-Zone2,18,8.9,19.8,210
Bhubaneswar-Zone2,19,6.6,20.9,201
Bhubaneswar-Zone2,20,12.3,21.0,187
Bhubaneswar-Zone2,21,7.3,20.7,204
Bhubaneswar-Zone2,22,18.5,21.7,214
Bhubaneswar-Zone2,23,20.5,23.2,182
Bhubaneswar-Zone2,24,6.4,22.8,180
Bhubaneswar-Zone2,25,4.6,18.0,213
Bhubaneswar-Zone2,26,9.2,16.0,191
Bhubaneswar-Zone2,27,21.5,23.0,150
Bhubaneswar-Zone2,28,3.9,18.5,210
Bhubaneswar-Zone2,29,9.8,20.9,184
Bhubaneswar-Zone2,30,10.0,19.1,111
Bhubaneswar-Zone2,31,12.6,17.9,115
Bhubaneswar-Zone2,32,3.1,22.7,120
Bhubaneswar-Zone2,33,12.1,23.2,121
Bhubaneswar-Zone2,34,21.2,20.6,97
Bhubaneswar-Zone2,35,3.6,16.7,125
Bhubaneswar-Zone2,36,4.2,20.9,113
Bhubaneswar-Zone2,37,30.4,22.9,107
Bhubaneswar-Zone2,38,3.6,19.2,126
Bhubaneswar-Zone2,39,17.4,22.7,92
Bhubaneswar-Zone2,40,7.4,22.4,130
Bhubaneswar-Zone2,41,4.3,23.7,109
Bhubaneswar-Zone2,42,18.4,22.9,117
Bhubaneswar-Zone2,43,6.7,20.8,120
Bhubaneswar-Zone2,44,7.8,25.3,141
Bhubaneswar-Zone2,45,5.6,22.7,112
Bhubaneswar-Zone2,46,9.2,23.1,107
Bhubaneswar-Zone2,47,3.4,21.4,117
Bhubaneswar-Zone2,48,6.0,22.5,111
Bhubaneswar-Zone2,49,29.9,21.7,108
Bhubaneswar-Zone2,50,4.4,23.3,92
Bhubaneswar-Zone2,51,10.6,27.2,96
Bhubaneswar-Zone2,52,5.1,21.2,100
Bhubaneswar-Zone2,53,13.9,20.8,123
Bhubaneswar-Zone2,54,3.1,27.1,143
Bhubaneswar-Zone2,55,30.0,23.9,94
Bhubaneswar-Zone2,56,6.8,23.1,112
Bhubaneswar-Zone2,57,4.2,26.7,118
Bhubaneswar-Zone2,58,2.6,23.6,135
Bhubaneswar-Zone2,59,3.5,28.6,103
Bhubaneswar-Zone2,60,7.9,26.4,117
Bhubaneswar-Zone2,61,5.3,24.2,130
Bhubaneswar-Zone2,62,16.1,29.7,115
Bhubaneswar-Zone2,63,6.5,24.3,118
Bhubaneswar-Zone2,64,4.3,27.2,132
Bhubaneswar-Zone2,65,9.7,26.4,72
Bhubaneswar-Zone2,66,11.8,28.6,121
Bhubaneswar-Zone2,67,3.5,29.3,107
Bhubaneswar-Zone2,68,3.5,26.4,90
Bhubaneswar-Zone2,69,2.3,25.0,126
Bhubaneswar-Zone2,70,12.7,27.5,130
Bhubaneswar-Zone2,71,10.7,25.4,109
Bhubaneswar-Zone2,72,7.1,31.0,129
Bhubaneswar-Zone2,73,16.9,27.4,131
Bhubaneswar-Zone2,74,15.1,26.5,128
Bhubaneswar-Zone2,75,9.0,27.8,137
Bhubaneswar-Zone2,76,18.2,24.9,117
Bhubaneswar-Zone2,77,3.8,25.8,118
Bhubaneswar-Zone2,78,2.9,30.3,94
Bhubaneswar-Zone2,79,4.5,26.8,113
Bhubaneswar-Zone2,80,2.5,26.2,105
Bhubaneswar-Zone2,81,8.1,29.5,146
Bhubaneswar-Zone2,82,24.1,31.0,98
Bhubaneswar-Zone2,83,2.3,30.2,120
Bhubaneswar-Zone2,84,3.0,31.0,126
Bhubaneswar-Zone2,85,6.8,27.6,115
Bhubaneswar-Zone2,86,23.7,26.5,126
Bhubaneswar-Zone2,87,5.0,32.5,107
Bhubaneswar-Zone2,88,7.7,29.0,117
Bhubaneswar-Zone2,89,2.3,29.3,107
Bhubaneswar-Zone2,90,3.3,32.7,98
Bhubaneswar-Zone2,91,36.5,31.3,82
Bhubaneswar-Zone2,92,28.8,31.3,96
Bhubaneswar-Zone2,93,2.0,34.8,112
Bhubaneswar-Zone2,94,26.3,29.4,89
Bhubaneswar-Zone2,95,10.2,32.7,91
Bhubaneswar-Zone2,96,18.2,31.1,104
Bhubaneswar-Zone2,97,6.9,31.7,92
Bhubaneswar-Zone2,98,7.8,34.4,125
Bhubaneswar-Zone2,99,7.4,32.6,115
Bhubaneswar-Zone2,100,10.8,32.8,90
Bhubaneswar-Zone2,101,3.2,34.0,113
Bhubaneswar-Zone2,102,2.2,31.3,107
Bhubaneswar-Zone2,103,4.9,30.5,121
Bhubaneswar-Zone2,104,11.8,30.3,131
Bhubaneswar-Zone2,105,3.8,28.6,89
Bhubaneswar-Zone2,106,11.0,36.8,113
Bhubaneswar-Zone2,107,30.0,30.7,94
Bhubaneswar-Zone2,108,2.8,32.6,128
Bhubaneswar-Zone2,109,10.9,32.7,114
Bhubaneswar-Zone2,110,6.7,34.0,103
Bhubaneswar-Zone2,111,18.2,35.2,101
Bhubaneswar-Zone2,112,3.6,35.4,105
Bhubaneswar-Zone2,113,11.4,32.7,127
Bhubaneswar-Zone2,114,16.6,33.7,107
Bhubaneswar-Zone2,115,25.1,34.7,128
Bhubaneswar-Zone2,116,11.2,33.8,110
Bhubaneswar-Zone2,117,7.5,37.7,103
Bhubaneswar-Zone2,118,9.7,35.6,90
Bhubaneswar-Zone2,119,18.3,36.3,78
Bhubaneswar-Zone2,120,8.8,36.3,89
Bhubaneswar-Zone2,121,2.2,37.4,122
Bhubaneswar-Zone2,122,23.4,35.6,109
Bhubaneswar-Zone2,123,11.4,32.8,87
Bhubaneswar-Zone2,124,11.0,36.3,125
Bhubaneswar-Zone2,125,3.9,34.4,110
Bhubaneswar-Zone2,126,10.6,34.8,114
Bhubaneswar-Zone2,127,6.0,37.1,139
Bhubaneswar-Zone2,128,10.4,38.6,125
Bhubaneswar-Zone2,129,2.9,36.3,114
Bhubaneswar-Zone2,130,10.6,37.0,98
Bhubaneswar-Zone2,131,61.5,39.9,38
Bhubaneswar-Zone2,132,2.4,37.1,107
Bhubaneswar-Zone2,133,32.2,41.9,91
Bhubaneswar-Zone2,134,6.2,38.0,100
Bhubaneswar-Zone2,135,18.4,33.5,103
Bhubaneswar-Zone2,136,14.2,38.6,110
Bhubaneswar-Zone2,137,8.7,38.0,110
Bhubaneswar-Zone2,138,12.7,39.9,100
Bhubaneswar-Zone2,139,18.9,38.8,107
Bhubaneswar-Zone2,140,6.1,37.3,122
Bhubaneswar-Zone2,141,5.2,35.2,100
Bhubaneswar-Zone2,142,10.8,37.4,133
Bhubaneswar-Zone2,143,15.2,36.2,106
Bhubaneswar-Zone2,144,13.5,36.9,109
Bhubaneswar-Zone2,145,14.8,39.3,119
Bhubaneswar-Zone2,146,6.6,41.6,118
Bhubaneswar-Zone2,147,15.6,39.1,122
Bhubaneswar-Zone2,148,3.0,36.0,122
Bhubaneswar-Zone2,149,8.3,39.4,104
Bhubaneswar-Zone2,150,2.0,41.0,124
Bhubaneswar-Zone2,151,5.8,37.5,98
Bhubaneswar-Zone2,152,7.0,38.5,116
Bhubaneswar-Zone2,153,8.1,38.9,113
Bhubaneswar-Zone2,154,14.3,37.4,105
Bhubaneswar-Zone2,155,9.4,40.3,111
Bhubaneswar-Zone2,156,10.9,38.8,83
Bhubaneswar-Zone2,157,9.0,40.0,105
Bhubaneswar-Zone2,158,11.2,37.4,112
Bhubaneswar-Zone2,159,10.2,38.4,114
Bhubaneswar-Zone2,160,9.5,40.8,97
Bhubaneswar-Zone2,161,16.9,38.7,125
Bhubaneswar-Zone2,162,19.0,42.9,92
Bhubaneswar-Zone2,163,18.6,38.7,120
Bhubaneswar-Zone2,164,16.5,40.0,113
Bhubaneswar-Zone2,165,16.0,41.5,97
Bhubaneswar-Zone2,166,28.8,36.8,124
Bhubaneswar-Zone2,167,19.4,36.2,87
Bhubaneswar-Zone2,168,19.4,36.7,118
Bhubaneswar-Zone2,169,15.1,42.3,123
Bhubaneswar-Zone2,170,18.8,38.7,95
